Time,Latitude,Longitude
2018-09-06 18:01:10,36.9647122,-121.8665568
2018-09-06 18:03:31,36.9777283,-121.9096039
2018-09-06 18:05:36,36.9839462,-121.9497336
2018-09-06 18:07:37,36.9863324,-121.9828848
2018-09-06 18:10:24,36.9888282,-122.0228854
2018-09-06 18:12:37,36.9845529,-122.0296218
2018-09-06 18:14:54,36.9680516,-122.0384365
2018-09-06 18:17:25,36.9671639,-122.0396234
2018-09-06 18:20:47,36.9626741,-122.0437667
2018-09-06 18:23:30,36.9623309,-122.043542
2018-09-06 18:26:42,36.9637794,-122.042996
2018-09-06 18:28:42,36.9648248,-122.0420398
2018-09-06 18:31:30,36.9663287,-122.0407134
2018-09-06 18:36:15,36.9686886,-122.0448672
2018-09-06 18:49:22,37.0008989,-122.0629868
2018-09-07 00:37:06,37.0008026,-122.0623157
2018-09-07 00:44:55,36.9998939,-122.0621255
2018-09-07 00:49:11,36.9994022,-122.0644027
2018-09-07 00:53:09,36.9896305,-122.0675317
2018-09-07 00:55:57,36.9775259,-122.0583644
2018-09-07 00:58:40,36.9656935,-122.0565129
2018-09-07 01:01:10,36.9598448,-122.0582659
2018-09-07 01:03:33,36.9598396,-122.0572504
2018-09-07 01:05:52,36.9556876,-122.0481492
2018-09-07 01:08:36,36.957528,-122.0428768
2018-09-07 01:10:58,36.958505,-122.0422926
2018-09-07 01:13:34,36.960351,-122.042473
2018-09-07 01:15:57,36.9616364,-122.042115
2018-09-07 01:19:08,36.9625189,-122.043623
2018-09-07 01:21:24,36.9682153,-122.0381792
2018-09-07 01:23:39,36.9806809,-122.0322163
2018-09-07 01:25:43,36.9854466,-122.0259661
2018-09-07 01:28:14,36.9881286,-121.998416
2018-09-07 01:30:42,36.9879645,-121.993674
2018-09-07 01:33:24,36.987358,-121.9882649
2018-09-07 01:35:29,36.9869371,-121.9857076
2018-09-07 01:37:31,36.9856207,-121.9806302
2018-09-07 01:40:57,36.9838968,-121.9738641
2018-09-07 01:42:58,36.9798832,-121.9649997
2018-09-07 01:45:59,36.9696127,-121.9645731
2018-09-07 01:48:17,36.9730894,-121.964887
2018-09-07 01:50:50,36.9793228,-121.9648812
2018-09-07 01:52:54,36.9827418,-121.9613964
2018-09-07 01:55:07,36.9839373,-121.9442142
2018-09-07 01:57:29,36.9782626,-121.9110723
2018-09-07 01:59:44,36.9686035,-121.8709973
2018-09-07 02:02:02,36.9409237,-121.8390055
2018-09-07 02:04:37,36.9233538,-121.7952852
2018-09-07 02:07:57,36.9166992,-121.7730174
2018-09-07 02:11:07,36.9126422,-121.7594214
2018-09-07 02:13:23,36.910812,-121.7585768
2018-09-07 02:33:08,36.9107824,-121.7583627
2018-09-07 03:40:07,36.9108272,-121.758404
2018-09-07 09:46:25,36.9107282,-121.7577245
2018-09-07 13:46:00,36.9110031,-121.7584549
2018-09-07 14:21:58,36.9103965,-121.7590549
2018-09-07 14:24:16,36.9105088,-121.7599962
2018-09-07 14:26:25,36.9069585,-121.7604635
2018-09-07 14:28:41,36.8993224,-121.7770927
2018-09-07 14:30:56,36.9294016,-121.804856
2018-09-07 14:33:48,36.9427396,-121.8410521
2018-09-07 14:36:30,36.9463366,-121.8463612
2018-09-07 14:39:23,36.949488,-121.8505772
2018-09-07 14:41:32,36.951875,-121.8532308
2018-09-07 14:43:47,36.9542005,-121.85561
2018-09-07 14:46:35,36.9561133,-121.8576195
2018-09-07 14:51:24,36.9516151,-121.8687699
2018-09-07 14:53:26,36.9548168,-121.8803876
2018-09-07 14:55:25,36.9656729,-121.8910496
2018-09-07 14:57:18,36.9727127,-121.8990727
2018-09-07 14:59:29,36.9745892,-121.9076286
2018-09-07 15:01:42,36.9810269,-121.9168538
2018-09-07 15:04:02,36.9824414,-121.9375438
2018-09-07 15:06:49,36.9736194,-121.9504177
2018-09-07 15:09:07,36.9724542,-121.9530257
